dist_code,reg_fullname,reg_cfrg
DQU,Cariboo Natural Resource Region,Cariboo
DCC,Cariboo Natural Resource Region,Cariboo
DMH,Cariboo Natural Resource Region,Cariboo
DRM,Kootenay-Boundary Natural Resource Region,Nelson
DSE,Kootenay-Boundary Natural Resource Region,Nelson
DPC,Northeast Natural Resource Region,Pr George
DFN,Northeast Natural Resource Region,Pr George
DPG,Omineca Natural Resource Region,Pr George
DMK,Omineca Natural Resource Region,Pr George
DVA,Omineca Natural Resource Region,Pr George
DKM,Skeena Natural Resource Region,Pr Rupert
DND,Skeena Natural Resource Region,Pr Rupert
BUL,Skeena Natural Resource Region,Pr Rupert
DSS,Skeena Natural Resource Region,Pr Rupert
DCK,South Coast Natural Resource Region,Vancouver
DSQ,South Coast Natural Resource Region,Vancouver
DSC,South Coast Natural Resource Region,Vancouver
DCS,Thompson-Okanagan Natural Resource Region,Kamloops
DOS,Thompson-Okanagan Natural Resource Region,Kamloops
DKA,Thompson-Okanagan Natural Resource Region,Kamloops
DNI,West Coast Natural Resource Region,Vancouver
DSI,West Coast Natural Resource Region,Vancouver
DCR,West Coast Natural Resource Region,Vancouver
DQC,West Coast Natural Resource Region,Vancouver
