Spp,E1,E2,E3
Aa,X,X,X
Af,X,X,X
Ac,X,X,X
Acb,X,X,X
Act,X,X,X
Ad,X,X,X
Ad,X,X,X
Adm,X,X,X
At,X,X,X
Ba,P,A,X
Bb,P,A,X
Bc,P,A,X
Bg,P,A,X
Bl,P,A,X
Bm,P,A,X
Bp,P,A,X
Cw,P,A,X
Dr,X,X,X
Dw,X,X,X
Ea,X,X,X
Ee,X,X,X
Ep,X,X,X
Es,X,X,X
Es,X,X,X
Ew,X,X,X
Ey,X,X,X
Fd,P,P,A
Fdi,P,P,A
Fdc,P,P,A
Gp,X,X,X
Hm,P,A,X
Hw,P,A,X
Jc,X,X,X
Jo,X,X,X
Jr,X,X,X
Js,X,X,X
Ju,X,X,X
Jw,X,X,X
Kc,X,X,X
La,P,A,X
Ld,X,X,X
Ls,X,X,X
Lt,A,X,X
Lw,P,P,A
Mb,X,X,X
Me,X,X,X
Mn,X,X,X
Ms,X,X,X
Mt,X,X,X
Mv,X,X,X
Oa,P,A,X
Ob,P,A,X
Oc,P,A,X
Od,X,X,X
Oe,X,X,X
Of,X,X,X
Og,X,X,X
Oh,X,X,X
Oi,X,X,X
Oj,X,X,X
Ok,X,X,X
Ol,X,X,X
Om,X,X,X
On,X,X,X
Op,X,X,X
Ot,X,X,X
Oy,X,X,X
Pa,P,P,A
Pc,P,P,A
Pe,P,P,A
Pf,P,P,A
Pg,P,P,A
Pj,P,P,A
Pl,P,P,A
Pli,P,P,A
Plc,P,A,X
Pm,P,P,A
Pn,P,P,A
Pr,P,P,A
Ps,P,P,A
Pw,P,P,A
Py,P,P,A
Pyi,P,P,A
Pyc,P,P,A
Pz,P,P,A
Qa,X,X,X
Qb,X,X,X
Qc,X,X,X
Qd,X,X,X
Qe,X,X,X
Qg,X,X,X
Ql,X,X,X
Qm,X,X,X
Qs,X,X,X
Qv,X,X,X
Qw,X,X,X
Qx,X,X,X
Qz,X,X,X
Ra,X,X,X
Sb,P,A,X
Sn,X,X,X
Sp,P,P,A
Ss,P,P,A
Sxl,P,P,A
Sxs,P,P,A
Sx,P,P,A
Se,P,P,A
Sw,P,P,A
Sxw,P,P,A
Tw,X,X,X
Ua,X,X,X
Up,X,X,X
Vb,X,X,X
Vp,X,X,X
Vs,X,X,X
Vv,X,X,X
Vv,X,X,X
Vv,X,X,X
Wa,X,X,X
Wb,X,X,X
Wd,X,X,X
Wp,X,X,X
Wp,X,X,X
Wp,X,X,X
Ws,X,X,X
Wt,X,X,X
Yc,P,P,A
Yp,P,P,A
