Code,Model ID,Institutions,Country,Nominal Resolution,ECS,ssp245
AC,ACCESS-ESM1-5,Commonwealth Scientific and Industrial Research Organisation,Australia,250 km,3.9,3
CN,CNRM-ESM2-1,CNRM (Centre National de Recherches Meteorologiques) and CERFACS (Centre Europeen de Recherche et de Formation Avancee en Calcul Scientifique),France,250 km,4.8,3
EC,EC-Earth3,EC-Earth Consortium,Europe,100 km,4.3,3
GF,GFDL-ESM4,"National Oceanic and Atmospheric Administration, Geophysical Fluid Dynamics Laboratory",USA,100 km,2.7,3
GI,GISS-E2-1-G,Goddard Institute for Space Studies,USA,250 km,2.7,3
MI,MIROC6,"JAMSTEC (Japan Agency for Marine-Earth Science and Technology), AORI (Atmosphere and Ocean Research Institute), NIES (National Institute for Environmental Studies), and R-CCS (RIKEN Center for Computational Science)",Japan,250 km,2.6,3
MP ,MPI-ESM1-2-HR,Max Planck Institute for Meteorology,Germany,100 km,3,2
MR,MRI-ESM2-0,Meteorological Research Institute,Japan,100 km,3.1,3
en,Ensemble Mean,,,,3.4,1
